y, predicted
-1.522222239258817127e-03,-1.765187364071607590e-03
-1.518737053766121585e-03,-1.745134126394987106e-03
-1.372756527387659735e-03,-1.726292539387941360e-03
-1.515101634776939814e-03,-1.729072071611881256e-03
-1.351454626197422888e-03,-1.738139893859624863e-03
-1.408384918142905175e-03,-1.711104530841112137e-03
-1.564933336456316489e-03,-1.735654659569263458e-03
-1.493781799420160726e-03,-1.726246904581785202e-03
-1.540040238405412714e-03,-1.742480322718620300e-03
-1.330081671097864231e-03,-1.726089045405387878e-03
-1.269648715890949776e-03,-1.721487380564212799e-03
-1.273296096316766345e-03,-1.748290378600358963e-03
-1.650174362414379668e-03,-1.749636139720678329e-03
-1.532888450805299603e-03,-1.744253095239400864e-03
-1.326635635807050292e-03,-1.758400816470384598e-03
-1.507992434116316345e-03,-1.747011207044124603e-03
-1.326676879378059244e-03,-1.790096983313560486e-03
-1.355158835416783681e-03,-1.754612196236848831e-03
-1.493766674865672998e-03,-1.773493364453315735e-03
-1.387168437685563178e-03,-1.788324676454067230e-03
-1.426265468732144806e-03,-1.744982786476612091e-03
-1.454689499116483715e-03,-1.810673158615827560e-03
-1.326854912202823185e-03,-1.783709041774272919e-03
-1.444011860750499992e-03,-1.787775196135044098e-03
-1.522199188969580123e-03,-1.806296873837709427e-03
-1.628657651536598045e-03,-1.826458610594272614e-03
-1.525730054275419544e-03,-1.785849686712026596e-03
-1.582569213358104437e-03,-1.816980540752410889e-03
-1.447577776015107663e-03,-1.800717320293188095e-03
-1.369421453530236593e-03,-1.803783234208822250e-03
-1.561248107143286970e-03,-1.784647349268198013e-03
-1.550603077665391703e-03,-1.785194035619497299e-03
-1.419190336295287486e-03,-1.787497662007808685e-03
-1.440477683314113745e-03,-1.771915704011917114e-03
-1.525732787724908652e-03,-1.757380552589893341e-03
-1.557672933912211633e-03,-1.748971641063690186e-03
-1.586178965106989055e-03,-1.750924624502658844e-03
-1.536377207314375748e-03,-1.739192754030227661e-03
-1.223658345239058559e-03,-1.731230877339839935e-03
-1.593226656887352342e-03,-1.731782685965299606e-03
-1.284137421659714605e-03,-1.741604879498481750e-03
-1.848923213924991366e-03,-1.714800018817186356e-03
-1.433347997228622342e-03,-1.680149231106042862e-03
-1.415583637314727240e-03,-1.721826847642660141e-03
-1.543514573240136953e-03,-1.736596226692199707e-03
-1.781662930740887836e-03,-1.763861160725355148e-03
-1.493739319195959599e-03,-1.791922375559806824e-03
-1.298158632421801554e-03,-1.833280082792043686e-03
-1.433412360646785667e-03,-1.799562480300664902e-03
-1.433310678273577851e-03,-1.829927321523427963e-03
-1.582583255429783915e-03,-1.824462320655584335e-03
-1.625330572795363792e-03,-1.819612924009561539e-03
-1.518628624648914356e-03,-1.799242570996284485e-03
-1.323124160307990798e-03,-1.840266864746809006e-03
-1.603971143442748390e-03,-1.787472516298294067e-03
-1.404881936861546643e-03,-1.821646466851234436e-03
-1.561319915683127228e-03,-1.822213176637887955e-03
-1.390659187914784246e-03,-1.819727942347526550e-03
-1.593312945219583967e-03,-1.818046905100345612e-03
-1.532888450805299603e-03,-1.807679887861013412e-03
-1.685808668680613062e-03,-1.820094417780637741e-03
-1.383458297967111441e-03,-1.780848018825054169e-03
-1.575622113949482709e-03,-1.796900294721126556e-03
-1.440416301028665238e-03,-1.786955632269382477e-03
-1.468878021585929075e-03,-1.789439469575881958e-03
-1.525792942459260363e-03,-1.803036313503980637e-03
-1.461762287181975813e-03,-1.786861103028059006e-03
-1.515087266978470395e-03,-1.790912356227636337e-03
-1.543620765646311647e-03,-1.768625341355800629e-03
-1.440411431268289908e-03,-1.770937815308570862e-03
-1.508046283265150351e-03,-1.740939449518918991e-03
-1.322968580429144522e-03,-1.743813510984182358e-03
-1.276818405383256571e-03,-1.722720917314291000e-03
-1.465330899626707479e-03,-1.743619330227375031e-03
-1.458221323470679492e-03,-1.737690065056085587e-03
-1.525766184723238456e-03,-1.740618608891963959e-03
-1.273312857738843028e-03,-1.742947380989789963e-03
-1.500911280230958185e-03,-1.730279531329870224e-03
-1.426245229749571394e-03,-1.758356112986803055e-03
-1.522159573416563723e-03,-1.751711592078208923e-03
-1.330331887060535621e-03,-1.744198612868785858e-03
-1.298369267056025469e-03,-1.737822778522968292e-03
-1.557685094686581334e-03,-1.745959743857383728e-03
-1.493762653942600849e-03,-1.749801449477672577e-03
-1.539938124827322551e-03,-1.759628765285015106e-03
-1.582572753289388737e-03,-1.764249987900257111e-03
-1.611017017417241872e-03,-1.772121526300907135e-03
-1.586136512399625477e-03,-1.778774894773960114e-03
-1.536463091711560286e-03,-1.789291854947805405e-03
-1.348014041465929024e-03,-1.793271396309137344e-03
-1.557743518115876696e-03,-1.780881080776453018e-03
